scenario,algorithm,metric,unit,n,mean,sample_stddev,ci95_lower,ci95_upper,ci95_margin,n_processes,quantum,context_switch_cost,seed_start,seed_end
balanced,fcfs,mean_turnaround,time_units,100,16206.624430000,362.749081377,16135.525610050,16277.723249950,71.098819950,1000,4,1,1,100
balanced,fcfs,context_switches,count,100,2991.640000000,43.867228513,2983.042023212,3000.237976788,8.597976788,1000,4,1,1,100
balanced,fcfs,jain_slowdown_percent,percent,100,12.744076190,1.502785471,12.449530238,13.038622142,0.294545952,1000,4,1,1,100
balanced,round_robin,mean_turnaround,time_units,100,25677.890310000,695.773688352,25541.518667083,25814.261952917,136.371642917,1000,4,1,1,100
balanced,round_robin,context_switches,count,100,8966.690000000,158.842320328,8935.556905216,8997.823094784,31.133094784,1000,4,1,1,100
balanced,round_robin,jain_slowdown_percent,percent,100,77.757883970,2.406202683,77.286268244,78.229499696,0.471615726,1000,4,1,1,100
balanced,priority,mean_turnaround,time_units,100,16248.561450000,357.975491794,16178.398253608,16318.724646392,70.163196392,1000,4,1,1,100
balanced,priority,context_switches,count,100,2991.640000000,44.165098886,2982.983640618,3000.296359382,8.656359382,1000,4,1,1,100
balanced,priority,jain_slowdown_percent,percent,100,12.393318270,1.567266035,12.086134127,12.700502413,0.307184143,1000,4,1,1,100
balanced,predictive_sjf,mean_turnaround,time_units,100,20565.159490000,577.742998231,20451.921862347,20678.397117653,113.237627653,1000,4,1,1,100
balanced,predictive_sjf,context_switches,count,100,2992.680000000,44.056868667,2984.044853741,3001.315146259,8.635146259,1000,4,1,1,100
balanced,predictive_sjf,jain_slowdown_percent,percent,100,36.973040900,4.428647518,36.105025986,37.841055814,0.868014914,1000,4,1,1,100
io_bound,fcfs,mean_turnaround,time_units,100,9061.764300000,122.644779890,9037.725923141,9085.802676859,24.038376859,1000,4,1,1,100
io_bound,fcfs,context_switches,count,100,5003.100000000,42.803639041,4994.710486748,5011.489513252,8.389513252,1000,4,1,1,100
io_bound,fcfs,jain_slowdown_percent,percent,100,63.052158170,0.871500610,62.881344050,63.222972290,0.170814120,1000,4,1,1,100
io_bound,round_robin,mean_turnaround,time_units,100,15025.507510000,235.627756809,14979.324469665,15071.690550335,46.183040335,1000,4,1,1,100
io_bound,round_robin,context_switches,count,100,6002.470000000,59.107068575,5990.885014559,6014.054985441,11.584985441,1000,4,1,1,100
io_bound,round_robin,jain_slowdown_percent,percent,100,92.055451990,0.404339426,91.976201463,92.134702517,0.079250527,1000,4,1,1,100
io_bound,priority,mean_turnaround,time_units,100,9075.917330000,123.600116569,9051.691707152,9100.142952848,24.225622848,1000,4,1,1,100
io_bound,priority,context_switches,count,100,5002.830000000,42.718967708,4994.457082329,5011.202917671,8.372917671,1000,4,1,1,100
io_bound,priority,jain_slowdown_percent,percent,100,59.721132550,1.055241570,59.514305202,59.927959898,0.206827348,1000,4,1,1,100
io_bound,predictive_sjf,mean_turnaround,time_units,100,14187.729770000,218.192398709,14144.964059853,14230.495480147,42.765710147,1000,4,1,1,100
io_bound,predictive_sjf,context_switches,count,100,5004.000000000,42.870017306,4995.597476608,5012.402523392,8.402523392,1000,4,1,1,100
io_bound,predictive_sjf,jain_slowdown_percent,percent,100,92.546779610,0.396686355,92.469029084,92.624530136,0.077750526,1000,4,1,1,100
cpu_bound,fcfs,mean_turnaround,time_units,100,25331.861050000,384.199827772,25256.557883757,25407.164216243,75.303166243,1000,4,1,1,100
cpu_bound,fcfs,context_switches,count,100,1497.480000000,16.761234737,1494.194797992,1500.765202008,3.285202008,1000,4,1,1,100
cpu_bound,fcfs,jain_slowdown_percent,percent,100,60.141406290,0.848760838,59.975049166,60.307763414,0.166357124,1000,4,1,1,100
cpu_bound,round_robin,mean_turnaround,time_units,100,48493.515600000,795.408337182,48337.615565912,48649.415634088,155.900034088,1000,4,1,1,100
cpu_bound,round_robin,context_switches,count,100,13660.410000000,175.649334721,13625.982730395,13694.837269605,34.427269605,1000,4,1,1,100
cpu_bound,round_robin,jain_slowdown_percent,percent,100,95.482334590,0.161460825,95.450688268,95.513980912,0.031646322,1000,4,1,1,100
cpu_bound,priority,mean_turnaround,time_units,100,25336.497960000,389.457269698,25260.164335139,25412.831584861,76.333624861,1000,4,1,1,100
cpu_bound,priority,context_switches,count,100,1497.410000000,16.692764416,1494.138218175,1500.681781825,3.271781825,1000,4,1,1,100
cpu_bound,priority,jain_slowdown_percent,percent,100,58.254936940,0.852107960,58.087923780,58.421950100,0.167013160,1000,4,1,1,100
cpu_bound,predictive_sjf,mean_turnaround,time_units,100,29384.544790000,637.065777211,29259.679897667,29509.409682333,124.864892333,1000,4,1,1,100
cpu_bound,predictive_sjf,context_switches,count,100,1497.780000000,16.738379053,1494.499277706,1501.060722294,3.280722294,1000,4,1,1,100
cpu_bound,predictive_sjf,jain_slowdown_percent,percent,100,79.898246790,0.740899121,79.753030562,80.043463018,0.145216228,1000,4,1,1,100
priority_skewed,fcfs,mean_turnaround,time_units,100,16362.103410000,378.325989579,16287.951516043,16436.255303957,74.151893957,1000,4,1,1,100
priority_skewed,fcfs,context_switches,count,100,3008.330000000,46.016697672,2999.310727256,3017.349272744,9.019272744,1000,4,1,1,100
priority_skewed,fcfs,jain_slowdown_percent,percent,100,12.873573440,1.919875875,12.497277768,13.249869112,0.376295672,1000,4,1,1,100
priority_skewed,round_robin,mean_turnaround,time_units,100,25998.799550000,730.756434633,25855.571288812,26142.027811188,143.228261188,1000,4,1,1,100
priority_skewed,round_robin,context_switches,count,100,9044.480000000,164.424891821,9012.252721203,9076.707278797,32.227278797,1000,4,1,1,100
priority_skewed,round_robin,jain_slowdown_percent,percent,100,78.236868800,2.938912631,77.660841924,78.812895676,0.576026876,1000,4,1,1,100
priority_skewed,priority,mean_turnaround,time_units,100,16361.717870000,374.152523723,16288.383975350,16435.051764650,73.333894650,1000,4,1,1,100
